Date,Month,Season,Temperature_C,Weather_Condition,Gender,Brand,Product Name,Fabric,Price_INR,Description
2024-01-26,January,Winter,11.4,Foggy,Women,Louis Philippe,Designer Wool Handwoven Shawl,Wool,13960,A designer handwoven shawl crafted from wool. Perfect for the winter weather in India. Sourced from Kolkata.
2024-01-27,January,Winter,16.7,Chilly,Women,FabIndia,Elegant Wool Velvet Sherwani Set,Wool,11286,A elegant velvet sherwani set crafted from wool. Perfect for the winter weather in India. Sourced from Kashmir.
2024-01-28,January,Winter,11.9,Cold,Women,W for Woman,Premium Velvet Quilted Nehru Jacket,Velvet,6894,A premium quilted nehru jacket crafted from velvet. Perfect for the winter weather in India. Sourced from Ludhiana.
2024-01-29,January,Winter,18.2,Foggy,Men,Manyavar,Vintage Wool Kashmiri Embroidered Phiran,Wool,2214,A vintage kashmiri embroidered phiran crafted from wool. Perfect for the winter weather in India. Sourced from Banaras.
2024-01-30,January,Winter,13.7,Foggy,Men,Westside,Handcrafted Wool Fleece Lined Hoodie,Wool,12510,A handcrafted fleece lined hoodie crafted from wool. Perfect for the winter weather in India. Sourced from Ludhiana.
2024-01-31,January,Winter,17.0,Chilly,Men,Manyavar,Handcrafted Velvet Padded Bomber Jacket,Velvet,10320,A handcrafted padded bomber jacket crafted from velvet. Perfect for the winter weather in India. Sourced from Surat.
2024-02-01,February,Spring,13.4,Breezy,Women,Peter England,Sustainable Silk Full Sleeve Cotton Shirt,Silk,1530,A sustainable full sleeve cotton shirt crafted from silk. Perfect for the spring weather in India. Sourced from Ludhiana.
2024-02-02,February,Spring,23.2,Sunny,Women,Westside,Classic Denim A-Line Midi Skirt,Denim,3072,A classic a-line midi skirt crafted from denim. Perfect for the spring weather in India. Sourced from Surat.
2024-02-03,February,Spring,22.8,Pleasant,Unisex,Westside,Premium Chiffon Printed Anarkali Suit,Chiffon,3585,A premium printed anarkali suit crafted from chiffon. Perfect for the spring weather in India. Sourced from Kolkata.
2024-02-04,February,Spring,25.2,Pleasant,Women,Westside,Vintage Chiffon A-Line Midi Skirt,Chiffon,10766,A vintage a-line midi skirt crafted from chiffon. Perfect for the spring weather in India. Sourced from Surat.
2024-02-05,February,Spring,20.4,Sunny,Unisex,Westside,Modern Khadi Floral Silk Scarf,Khadi,4887,A modern floral silk scarf crafted from khadi. Perfect for the spring weather in India. Sourced from Jaipur.
2024-02-06,February,Spring,24.4,Breezy,Women,Pantaloons,Sustainable Denim Printed Anarkali Suit,Denim,11342,A sustainable printed anarkali suit crafted from denim. Perfect for the spring weather in India. Sourced from Surat.
2024-02-07,February,Spring,23.8,Pleasant,Unisex,Westside,Classic Denim Printed Anarkali Suit,Denim,9944,A classic printed anarkali suit crafted from denim. Perfect for the spring weather in India. Sourced from Banaras.
2024-02-08,February,Spring,15.8,Pleasant,Unisex,W for Woman,Sustainable Chiffon Classic Chinos,Chiffon,8487,A sustainable classic chinos crafted from chiffon. Perfect for the spring weather in India. Sourced from Kolkata.
2024-02-09,February,Spring,23.2,Sunny,Women,Allen Solly,Urban Khadi Quarter Zip Pullover,Khadi,3003,A urban quarter zip pullover crafted from khadi. Perfect for the spring weather in India. Sourced from Surat.
2024-02-10,February,Spring,20.0,Breezy,Men,W for Woman,Bohemian Chiffon Full Sleeve Cotton Shirt,Chiffon,9929,A bohemian full sleeve cotton shirt crafted from chiffon. Perfect for the spring weather in India. Sourced from Kashmir.
2024-02-11,February,Spring,23.0,Sunny,Women,Manyavar,Urban Denim Printed Anarkali Suit,Denim,14254,A urban printed anarkali suit crafted from denim. Perfect for the spring weather in India. Sourced from Mumbai.
2024-02-12,February,Spring,17.7,Sunny,Men,Raymond,Urban Khadi Classic Chinos,Khadi,2486,A urban classic chinos crafted from khadi. Perfect for the spring weather in India. Sourced from Ludhiana.
2024-02-13,February,Spring,20.3,Pleasant,Men,Biba,Premium Khadi Full Sleeve Cotton Shirt,Khadi,1626,A premium full sleeve cotton shirt crafted from khadi. Perfect for the spring weather in India. Sourced from Mysore.
2024-02-14,February,Spring,23.8,Pleasant,Women,W for Woman,Designer Denim Printed Anarkali Suit,Denim,9689,A designer printed anarkali suit crafted from denim. Perfect for the spring weather in India. Sourced from Jaipur.
2024-02-15,February,Spring,16.5,Breezy,Men,Raymond,Handcrafted Khadi A-Line Midi Skirt,Khadi,12711,A handcrafted a-line midi skirt crafted from khadi. Perfect for the spring weather in India. Sourced from Kolkata.
2024-02-16,February,Spring,17.1,Sunny,Women,Manyavar,Premium Khadi Quarter Zip Pullover,Khadi,8846,A premium quarter zip pullover crafted from khadi. Perfect for the spring weather in India. Sourced from Kashmir.
2024-02-17,February,Spring,19.8,Pleasant,Women,FabIndia,Sustainable Chiffon Floral Silk Scarf,Chiffon,9521,A sustainable floral silk scarf crafted from chiffon. Perfect for the spring weather in India. Sourced from Jaipur.
2024-02-18,February,Spring,17.9,Breezy,Unisex,Pantaloons,Bohemian Denim Printed Anarkali Suit,Denim,12511,A bohemian printed anarkali suit crafted from denim. Perfect for the spring weather in India. Sourced from Surat.
2024-02-19,February,Spring,24.3,Pleasant,Unisex,FabIndia,Elegant Khadi Printed Anarkali Suit,Khadi,8843,A elegant printed anarkali suit crafted from khadi. Perfect for the spring weather in India. Sourced from Kashmir.
2024-02-20,February,Spring,14.4,Sunny,Men,Westside,Vintage Silk Classic Chinos,Silk,7686,A vintage classic chinos crafted from silk. Perfect for the spring weather in India. Sourced from Ludhiana.
2024-02-21,February,Spring,19.7,Breezy,Unisex,Raymond,Vintage Chiffon A-Line Midi Skirt,Chiffon,10902,A vintage a-line midi skirt crafted from chiffon. Perfect for the spring weather in India. Sourced from Mysore.
2024-02-22,February,Spring,22.0,Breezy,Women,Pantaloons,Urban Khadi Printed Anarkali Suit,Khadi,9425,A urban printed anarkali suit crafted from khadi. Perfect for the spring weather in India. Sourced from Kolkata.
2024-02-23,February,Spring,18.8,Pleasant,Women,W for Woman,Elegant Chiffon Floral Silk Scarf,Chiffon,13857,A elegant floral silk scarf crafted from chiffon. Perfect for the spring weather in India. Sourced from Mumbai.
2024-02-24,February,Spring,19.7,Sunny,Unisex,Pantaloons,Classic Denim Classic Chinos,Denim,1145,A classic classic chinos crafted from denim. Perfect for the spring weather in India. Sourced from Banaras.
2024-02-25,February,Spring,18.9,Breezy,Men,Pantaloons,Modern Silk Floral Silk Scarf,Silk,1083,A modern floral silk scarf crafted from silk. Perfect for the spring weather in India. Sourced from Kolkata.
2024-02-26,February,Spring,15.8,Pleasant,Unisex,Biba,Elegant Khadi Light Denim Jacket,Khadi,9304,A elegant light denim jacket crafted from khadi. Perfect for the spring weather in India. Sourced from Kashmir.
2024-02-27,February,Spring,20.4,Breezy,Women,Manyavar,Premium Khadi Classic Chinos,Khadi,11396,A premium classic chinos crafted from khadi. Perfect for the spring weather in India. Sourced from Banaras.
2024-02-28,February,Spring,22.9,Pleasant,Men,Peter England,Bohemian Khadi A-Line Midi Skirt,Khadi,8438,A bohemian a-line midi skirt crafted from khadi. Perfect for the spring weather in India. Sourced from Kolkata.
2024-02-29,February,Spring,19.6,Pleasant,Women,Louis Philippe,Classic Chiffon Light Denim Jacket,Chiffon,7004,A classic light denim jacket crafted from chiffon. Perfect for the spring weather in India. Sourced from Ludhiana.
2024-03-01,March,Summer,31.4,Warm,Men,Peter England,Vintage Khadi Breathable Linen Shirt,Khadi,5972,A vintage breathable linen shirt crafted from khadi. Perfect for the summer weather in India. Sourced from Mysore.
2024-03-02,March,Summer,29.9,Sunny,Women,Pantaloons,Classic Rayon Oversized Cotton T-Shirt,Rayon,7965,A classic oversized cotton t-shirt crafted from rayon. Perfect for the summer weather in India. Sourced from Kashmir.
2024-03-03,March,Summer,27.5,Sunny,Unisex,Biba,Vintage Rayon Breathable Linen Shirt,Rayon,5598,A vintage breathable linen shirt crafted from rayon. Perfect for the summer weather in India. Sourced from Mysore.
2024-03-04,March,Summer,29.0,Sunny,Unisex,Westside,Designer Rayon Handblock Print Mulmul Saree,Rayon,9466,A designer handblock print mulmul saree crafted from rayon. Perfect for the summer weather in India. Sourced from Kolkata.
2024-03-05,March,Summer,31.9,Warm,Unisex,Peter England,Urban Cotton Floral Print Maxi Dress,Cotton,8146,A urban floral print maxi dress crafted from cotton. Perfect for the summer weather in India. Sourced from Mumbai.
2024-03-06,March,Summer,32.0,Dry,Men,Manyavar,Vintage Rayon Breezy Palazzo Pants,Rayon,13515,A vintage breezy palazzo pants crafted from rayon. Perfect for the summer weather in India. Sourced from Mumbai.
2024-03-07,March,Summer,26.4,Warm,Men,Westside,Premium Khadi Pastel Sundress,Khadi,2614,A premium pastel sundress crafted from khadi. Perfect for the summer weather in India. Sourced from Mysore.
2024-03-08,March,Summer,29.8,Sunny,Women,Westside,Handcrafted Rayon Floral Print Maxi Dress,Rayon,8639,A handcrafted floral print maxi dress crafted from rayon. Perfect for the summer weather in India. Sourced from Kolkata.
2024-03-09,March,Summer,35.8,Warm,Men,Westside,Classic Cotton White Linen Trousers,Cotton,11851,A classic white linen trousers crafted from cotton. Perfect for the summer weather in India. Sourced from Banaras.
2024-03-10,March,Summer,27.3,Warm,Men,Manyavar,Modern Linen Breezy Palazzo Pants,Linen,14137,A modern breezy palazzo pants crafted from linen. Perfect for the summer weather in India. Sourced from Mysore.
2024-03-11,March,Summer,28.0,Warm,Men,Allen Solly,Bohemian Rayon Floral Print Maxi Dress,Rayon,14395,A bohemian floral print maxi dress crafted from rayon. Perfect for the summer weather in India. Sourced from Jaipur.
2024-03-12,March,Summer,34.4,Sunny,Women,FabIndia,Elegant Khadi Chikankari Cotton Kurta,Khadi,3951,A elegant chikankari cotton kurta crafted from khadi. Perfect for the summer weather in India. Sourced from Kashmir.
2024-03-13,March,Summer,34.4,Warm,Unisex,Pantaloons,Handcrafted Khadi Cotton Bermuda Shorts,Khadi,3251,A handcrafted cotton bermuda shorts crafted from khadi. Perfect for the summer weather in India. Sourced from Kashmir.
2024-03-14,March,Summer,32.1,Warm,Women,Manyavar,Classic Cotton Breathable Linen Shirt,Cotton,11871,A classic breathable linen shirt crafted from cotton. Perfect for the summer weather in India. Sourced from Mumbai.
2024-03-15,March,Summer,31.9,Sunny,Unisex,W for Woman,Modern Khadi Handblock Print Mulmul Saree,Khadi,2631,A modern handblock print mulmul saree crafted from khadi. Perfect for the summer weather in India. Sourced from Surat.
2024-03-16,March,Summer,34.8,Sunny,Women,W for Woman,Handcrafted Cotton Chikankari Cotton Kurta,Cotton,13823,A handcrafted chikankari cotton kurta crafted from cotton. Perfect for the summer weather in India. Sourced from Jaipur.
2024-03-17,March,Summer,33.2,Warm,Unisex,Pantaloons,Handcrafted Khadi Oversized Cotton T-Shirt,Khadi,9709,A handcrafted oversized cotton t-shirt crafted from khadi. Perfect for the summer weather in India. Sourced from Banaras.
2024-03-18,March,Summer,32.8,Warm,Women,Westside,Sustainable Rayon Oversized Cotton T-Shirt,Rayon,7471,A sustainable oversized cotton t-shirt crafted from rayon. Perfect for the summer weather in India. Sourced from Kashmir.
2024-03-19,March,Summer,30.7,Warm,Men,Raymond,Handcrafted Rayon Sleeveless Khadi Vest,Rayon,14794,A handcrafted sleeveless khadi vest crafted from rayon. Perfect for the summer weather in India. Sourced from Mumbai.
2024-03-20,March,Summer,31.5,Warm,Unisex,FabIndia,Handcrafted Cotton White Linen Trousers,Cotton,6745,A handcrafted white linen trousers crafted from cotton. Perfect for the summer weather in India. Sourced from Mumbai.
2024-03-21,March,Summer,33.3,Dry,Men,Westside,Vintage Khadi Breathable Linen Shirt,Khadi,7215,A vintage breathable linen shirt crafted from khadi. Perfect for the summer weather in India. Sourced from Kashmir.
2024-03-22,March,Summer,29.9,Sunny,Men,Pantaloons,Premium Rayon White Linen Trousers,Rayon,6981,A premium white linen trousers crafted from rayon. Perfect for the summer weather in India. Sourced from Jaipur.
2024-03-23,March,Summer,26.5,Sunny,Men,Allen Solly,Designer Cotton Pastel Sundress,Cotton,3616,A designer pastel sundress crafted from cotton. Perfect for the summer weather in India. Sourced from Ludhiana.
2024-03-24,March,Summer,28.2,Warm,Men,Raymond,Elegant Linen White Linen Trousers,Linen,11355,A elegant white linen trousers crafted from linen. Perfect for the summer weather in India. Sourced from Kolkata.
2024-03-25,March,Summer,32.5,Warm,Men,Allen Solly,Modern Cotton Cotton Bermuda Shorts,Cotton,13556,A modern cotton bermuda shorts crafted from cotton. Perfect for the summer weather in India. Sourced from Kashmir.
2024-03-26,March,Summer,30.0,Dry,Unisex,Allen Solly,Sustainable Rayon Breezy Palazzo Pants,Rayon,13040,A sustainable breezy palazzo pants crafted from rayon. Perfect for the summer weather in India. Sourced from Kashmir.
2024-03-27,March,Summer,31.9,Sunny,Women,FabIndia,Modern Khadi Handblock Print Mulmul Saree,Khadi,8879,A modern handblock print mulmul saree crafted from khadi. Perfect for the summer weather in India. Sourced from Kolkata.
2024-03-28,March,Summer,34.7,Sunny,Men,FabIndia,Elegant Linen Cotton Bermuda Shorts,Linen,11580,A elegant cotton bermuda shorts crafted from linen. Perfect for the summer weather in India. Sourced from Mumbai.
2024-03-29,March,Summer,32.3,Dry,Men,W for Woman,Vintage Khadi Handblock Print Mulmul Saree,Khadi,12235,A vintage handblock print mulmul saree crafted from khadi. Perfect for the summer weather in India. Sourced from Kashmir.
2024-03-30,March,Summer,30.4,Sunny,Women,Biba,Premium Rayon Oversized Cotton T-Shirt,Rayon,4816,A premium oversized cotton t-shirt crafted from rayon. Perfect for the summer weather in India. Sourced from Kashmir.
2024-03-31,March,Summer,34.0,Warm,Women,Raymond,Bohemian Khadi Breathable Linen Shirt,Khadi,7159,A bohemian breathable linen shirt crafted from khadi. Perfect for the summer weather in India. Sourced from Ludhiana.
2024-04-01,April,Summer,32.0,Dry,Men,Westside,Handcrafted Khadi Floral Print Maxi Dress,Khadi,8048,A handcrafted floral print maxi dress crafted from khadi. Perfect for the summer weather in India. Sourced from Ludhiana.
2024-04-02,April,Summer,35.8,Dry,Men,W for Woman,Handcrafted Khadi Pastel Sundress,Khadi,8556,A handcrafted pastel sundress crafted from khadi. Perfect for the summer weather in India. Sourced from Surat.
2024-04-03,April,Summer,29.3,Scorching,Unisex,Pantaloons,Modern Khadi Breezy Palazzo Pants,Khadi,12737,A modern breezy palazzo pants crafted from khadi. Perfect for the summer weather in India. Sourced from Mumbai.
2024-04-04,April,Summer,40.5,Scorching,Women,W for Woman,Modern Cotton Chikankari Cotton Kurta,Cotton,9309,A modern chikankari cotton kurta crafted from cotton. Perfect for the summer weather in India. Sourced from Kolkata.
2024-04-05,April,Summer,40.0,Scorching,Unisex,Louis Philippe,Urban Rayon Sleeveless Khadi Vest,Rayon,6447,A urban sleeveless khadi vest crafted from rayon. Perfect for the summer weather in India. Sourced from Surat.
2024-04-06,April,Summer,38.2,Dry,Men,Biba,Modern Khadi Breathable Linen Shirt,Khadi,4381,A modern breathable linen shirt crafted from khadi. Perfect for the summer weather in India. Sourced from Kashmir.
2024-04-07,April,Summer,30.8,Dry,Unisex,Biba,Handcrafted Cotton White Linen Trousers,Cotton,13377,A handcrafted white linen trousers crafted from cotton. Perfect for the summer weather in India. Sourced from Surat.
2024-04-08,April,Summer,38.7,Hot,Women,Biba,Handcrafted Linen Breezy Palazzo Pants,Linen,4101,A handcrafted breezy palazzo pants crafted from linen. Perfect for the summer weather in India. Sourced from Ludhiana.
2024-04-09,April,Summer,37.5,Dry,Men,FabIndia,Modern Linen Oversized Cotton T-Shirt,Linen,3232,A modern oversized cotton t-shirt crafted from linen. Perfect for the summer weather in India. Sourced from Jaipur.
2024-04-10,April,Summer,30.8,Hot,Unisex,Biba,Bohemian Rayon Breezy Palazzo Pants,Rayon,7243,A bohemian breezy palazzo pants crafted from rayon. Perfect for the summer weather in India. Sourced from Ludhiana.
2024-04-11,April,Summer,38.4,Hot,Men,Pantaloons,Premium Khadi Chikankari Cotton Kurta,Khadi,2463,A premium chikankari cotton kurta crafted from khadi. Perfect for the summer weather in India. Sourced from Banaras.
2024-04-12,April,Summer,37.0,Scorching,Unisex,Manyavar,Designer Linen Handblock Print Mulmul Saree,Linen,2144,A designer handblock print mulmul saree crafted from linen. Perfect for the summer weather in India. Sourced from Ludhiana.
2024-04-13,April,Summer,37.1,Dry,Men,Allen Solly,Premium Khadi Cotton Bermuda Shorts,Khadi,14778,A premium cotton bermuda shorts crafted from khadi. Perfect for the summer weather in India. Sourced from Kolkata.
2024-04-14,April,Summer,36.2,Dry,Men,Pantaloons,Modern Rayon White Linen Trousers,Rayon,3177,A modern white linen trousers crafted from rayon. Perfect for the summer weather in India. Sourced from Mumbai.
2024-04-15,April,Summer,34.0,Dry,Men,W for Woman,Urban Cotton Floral Print Maxi Dress,Cotton,9725,A urban floral print maxi dress crafted from cotton. Perfect for the summer weather in India. Sourced from Ludhiana.
2024-04-16,April,Summer,34.2,Dry,Women,Peter England,Handcrafted Cotton Breathable Linen Shirt,Cotton,1529,A handcrafted breathable linen shirt crafted from cotton. Perfect for the summer weather in India. Sourced from Kashmir.
2024-04-17,April,Summer,35.9,Scorching,Unisex,Allen Solly,Classic Cotton Breezy Palazzo Pants,Cotton,6649,A classic breezy palazzo pants crafted from cotton. Perfect for the summer weather in India. Sourced from Kolkata.
2024-04-18,April,Summer,38.5,Dry,Unisex,Manyavar,Premium Khadi Pastel Sundress,Khadi,7782,A premium pastel sundress crafted from khadi. Perfect for the summer weather in India. Sourced from Banaras.
2024-04-19,April,Summer,42.4,Dry,Women,W for Woman,Classic Linen Sleeveless Khadi Vest,Linen,7534,A classic sleeveless khadi vest crafted from linen. Perfect for the summer weather in India. Sourced from Mumbai.
2024-04-20,April,Summer,31.6,Dry,Men,Biba,Classic Rayon Breezy Palazzo Pants,Rayon,9345,A classic breezy palazzo pants crafted from rayon. Perfect for the summer weather in India. Sourced from Kashmir.
2024-04-21,April,Summer,31.7,Dry,Men,Allen Solly,Handcrafted Rayon Pastel Sundress,Rayon,1319,A handcrafted pastel sundress crafted from rayon. Perfect for the summer weather in India. Sourced from Surat.
2024-04-22,April,Summer,28.9,Dry,Men,Peter England,Bohemian Khadi Breezy Palazzo Pants,Khadi,3791,A bohemian breezy palazzo pants crafted from khadi. Perfect for the summer weather in India. Sourced from Banaras.
2024-04-23,April,Summer,39.8,Scorching,Women,Westside,Bohemian Cotton Handblock Print Mulmul Saree,Cotton,11040,A bohemian handblock print mulmul saree crafted from cotton. Perfect for the summer weather in India. Sourced from Mumbai.
2024-04-24,April,Summer,41.1,Dry,Men,Biba,Handcrafted Linen Breathable Linen Shirt,Linen,6014,A handcrafted breathable linen shirt crafted from linen. Perfect for the summer weather in India. Sourced from Ludhiana.
2024-04-25,April,Summer,35.7,Scorching,Unisex,Westside,Premium Linen Pastel Sundress,Linen,6426,A premium pastel sundress crafted from linen. Perfect for the summer weather in India. Sourced from Mysore.
2024-04-26,April,Summer,28.8,Hot,Women,Pantaloons,Elegant Cotton Floral Print Maxi Dress,Cotton,3448,A elegant floral print maxi dress crafted from cotton. Perfect for the summer weather in India. Sourced from Banaras.
2024-04-27,April,Summer,30.7,Hot,Women,Manyavar,Sustainable Cotton Sleeveless Khadi Vest,Cotton,14320,A sustainable sleeveless khadi vest crafted from cotton. Perfect for the summer weather in India. Sourced from Mysore.
2024-04-28,April,Summer,31.1,Hot,Women,FabIndia,Urban Cotton Sleeveless Khadi Vest,Cotton,12334,A urban sleeveless khadi vest crafted from cotton. Perfect for the summer weather in India. Sourced from Ludhiana.
2024-04-29,April,Summer,35.3,Scorching,Women,Louis Philippe,Sustainable Linen White Linen Trousers,Linen,12769,A sustainable white linen trousers crafted from linen. Perfect for the summer weather in India. Sourced from Kolkata.
2024-04-30,April,Summer,30.8,Hot,Unisex,Peter England,Sustainable Cotton Sleeveless Khadi Vest,Cotton,1414,A sustainable sleeveless khadi vest crafted from cotton. Perfect for the summer weather in India. Sourced from Banaras.
2024-05-01,May,Summer,36.5,Heatwave,Men,Pantaloons,Elegant Khadi Cotton Bermuda Shorts,Khadi,8279,A elegant cotton bermuda shorts crafted from khadi. Perfect for the summer weather in India. Sourced from Jaipur.
2024-05-02,May,Summer,38.3,Heatwave,Women,Westside,Urban Cotton Breathable Linen Shirt,Cotton,10984,A urban breathable linen shirt crafted from cotton. Perfect for the summer weather in India. Sourced from Ludhiana.
2024-05-03,May,Summer,40.0,Heatwave,Women,Raymond,Classic Cotton Floral Print Maxi Dress,Cotton,7146,A classic floral print maxi dress crafted from cotton. Perfect for the summer weather in India. Sourced from Surat.
2024-05-04,May,Summer,38.5,Very Hot,Women,Manyavar,Sustainable Linen Breathable Linen Shirt,Linen,10645,A sustainable breathable linen shirt crafted from linen. Perfect for the summer weather in India. Sourced from Mumbai.
2024-05-05,May,Summer,43.8,Very Hot,Unisex,Allen Solly,Bohemian Cotton Pastel Sundress,Cotton,11157,A bohemian pastel sundress crafted from cotton. Perfect for the summer weather in India. Sourced from Ludhiana.
2024-05-06,May,Summer,42.2,Dusty,Women,Peter England,Urban Linen Breezy Palazzo Pants,Linen,5528,A urban breezy palazzo pants crafted from linen. Perfect for the summer weather in India. Sourced from Surat.
2024-05-07,May,Summer,37.3,Dusty,Women,FabIndia,Modern Rayon Sleeveless Khadi Vest,Rayon,9400,A modern sleeveless khadi vest crafted from rayon. Perfect for the summer weather in India. Sourced from Ludhiana.
2024-05-08,May,Summer,33.6,Very Hot,Unisex,Allen Solly,Premium Cotton Cotton Bermuda Shorts,Cotton,1734,A premium cotton bermuda shorts crafted from cotton. Perfect for the summer weather in India. Sourced from Banaras.
2024-05-09,May,Summer,34.8,Very Hot,Women,Raymond,Designer Cotton Breathable Linen Shirt,Cotton,14014,A designer breathable linen shirt crafted from cotton. Perfect for the summer weather in India. Sourced from Ludhiana.
2024-05-10,May,Summer,38.8,Dusty,Men,Allen Solly,Vintage Linen Pastel Sundress,Linen,3156,A vintage pastel sundress crafted from linen. Perfect for the summer weather in India. Sourced from Jaipur.
2024-05-11,May,Summer,38.5,Very Hot,Unisex,W for Woman,Sustainable Rayon Floral Print Maxi Dress,Rayon,7137,A sustainable floral print maxi dress crafted from rayon. Perfect for the summer weather in India. Sourced from Kashmir.
2024-05-12,May,Summer,37.0,Dusty,Women,Allen Solly,Sustainable Khadi Chikankari Cotton Kurta,Khadi,5086,A sustainable chikankari cotton kurta crafted from khadi. Perfect for the summer weather in India. Sourced from Surat.
